uniprot_accession,uniprot_id,gene_name,protein_name,organism,sequence_length,uniprot_orphan_status,uniprot_ligand_info,iuphar_target_id,iuphar_name,iuphar_is_orphan,consensus_status,date_retrieved
P25090,FPR2_HUMAN,FPR2,N-formyl peptide receptor 2,,351,cognate,"Ligand binding causes a conformation change that triggers signaling via G(i)/GNAI1 inhibiting adenylate cyclase activity, leading to decreased intracellular cAMP levels (PubMed:40080544). In addition, can recognize a variety of chemically distinct endogenous ligands including proteins and lipids besides formylpeptides and thereby plays multiple roles in inflammation.",223,FPR2,0,cognate,2026-05-05
P25101,EDNRA_HUMAN,EDNRA,Endothelin-1 receptor,,427,unknown,,219,ETA receptor,0,cognate,2026-05-05
P32302,CXCR5_HUMAN,CXCR5,C-X-C chemokine receptor type 5,,372,unknown,,72,CXCR5,0,cognate,2026-05-05
P37288,V1AR_HUMAN,AVPR1A,Vasopressin V1a receptor,,418,unknown,,366,V1A receptor,0,cognate,2026-05-05
P41586,PACR_HUMAN,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,,468,unknown,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors.,370,PAC1 receptor,0,cognate,2026-05-05
P41594,GRM5_HUMAN,GRM5,Metabotropic glutamate receptor 5,,1212,cognate,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors.,293,mGlu5 receptor,0,cognate,2026-05-05
P41597,CCR2_HUMAN,CCR2,C-C chemokine receptor type 2,,374,unknown,,59,CCR2,0,cognate,2026-05-05
P43088,PF2R_HUMAN,PTGFR,Prostaglandin F2-alpha receptor,,359,unknown,,344,FP receptor,0,cognate,2026-05-05
P43119,PI2R_HUMAN,PTGIR,Prostacyclin receptor,,386,unknown,,345,IP receptor,0,cognate,2026-05-05
P43657,LPAR6_HUMAN,LPAR6,Lysophosphatidic acid receptor 6,,344,unknown,,163,LPA6 receptor,0,cognate,2026-05-05
P46663,BKRB1_HUMAN,BDKRB1,B1 bradykinin receptor,,353,unknown,,41,B1 receptor,0,cognate,2026-05-05
P47898,5HT5A_HUMAN,HTR5A,5-hydroxytryptamine receptor 5A,,357,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:35610220, PubMed:35835867, PubMed:9865521).",10,5-HT5A receptor,0,cognate,2026-05-05
P48145,NPBW1_HUMAN,NPBWR1,Neuropeptides B/W receptor type 1,,328,unknown,Interacts specifically with a number of opioid ligands.,303,NPBW1 receptor,0,cognate,2026-05-05
P49685,GPR15_HUMAN,GPR15,G-protein coupled receptor 15,,360,unknown,"Acts via its natural ligand GPR15LG, a chemokine-like polypeptide strongly expressed in gastrointestinal tissues.",87,GPR15,1,orphan,2026-05-05
P51684,CCR6_HUMAN,CCR6,C-C chemokine receptor type 6,,374,unknown,"Although CCL20 is its major ligand it can also act as a receptor for non-chemokine ligands such as beta-defensins (PubMed:25585877). The ligand-receptor pair CCL20-CCR6 is responsible for the chemotaxis of dendritic cells (DC), effector/ memory T-cells and B-cells and plays an important role at skin and mucosal surfaces under homeostatic and inflammatory conditions, as well as in pathology, including cancer and various autoimmune diseases.",63,CCR6,0,cognate,2026-05-05
P51686,CCR9_HUMAN,CCR9,C-C chemokine receptor type 9,,369,unknown,,66,CCR9,0,cognate,2026-05-05
Q01726,MSHR_HUMAN,MC1R,Melanocyte-stimulating hormone receptor,,317,cognate,,282,MC1 receptor,0,cognate,2026-05-05
Q13467,FZD5_HUMAN,FZD5,Frizzled-5,,585,unknown,,233,FZD5,1,orphan,2026-05-05
Q14330,GPR18_HUMAN,GPR18,N-arachidonyl glycine receptor,,331,unknown,"Becomes active when triggered by various endogenous ligands including endocannabinoid N-arachidonyl glycine (NAGly), delta-9-tetrahydrocannabinol or resolvin D2/RvD2 derived from the omega-3 fatty acid docosahexaenoic acid (DHA) (PubMed:16844083, PubMed:24762058, PubMed:26195725, PubMed:27572937).",89,GPR18,0,cognate,2026-05-05
Q14832,GRM3_HUMAN,GRM3,Metabotropic glutamate receptor 3,,879,cognate,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors.,291,mGlu3 receptor,0,cognate,2026-05-05
Q14833,GRM4_HUMAN,GRM4,Metabotropic glutamate receptor 4,,912,cognate,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors.,292,mGlu4 receptor,0,cognate,2026-05-05
Q86SQ4,AGRG6_HUMAN,ADGRG6,Adhesion G-protein coupled receptor G6,,1221,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:24227709, PubMed:35394864).",200,ADGRG6,1,orphan,2026-05-05
Q8IZF2,AGRF5_HUMAN,ADGRF5,Adhesion G protein-coupled receptor F5,,1346,unknown,,196,ADGRF5,1,orphan,2026-05-05
Q8IZF4,AGRG5_HUMAN,ADGRG5,Adhesion G-protein coupled receptor G5,,528,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:37673336).",194,ADGRG5,1,orphan,2026-05-05
Q8IZF5,AGRF3_HUMAN,ADGRF3,Adhesion G-protein coupled receptor F3,,1079,orphan,,193,ADGRF3,1,orphan,2026-05-05
Q8TDV0,GP151_HUMAN,GPR151,G-protein coupled receptor 151,,419,unknown,,137,GPR151,1,orphan,2026-05-05
Q8TE23,TS1R2_HUMAN,TAS1R2,Taste receptor type 1 member 2,,839,unknown,,657,TAS1R2,1,orphan,2026-05-05
Q92847,GHSR_HUMAN,GHSR,Growth hormone secretagogue receptor type 1,,366,cognate,,246,ghrelin receptor,0,cognate,2026-05-05
Q969F8,KISSR_HUMAN,KISS1R,KiSS-1 receptor,,398,unknown,,266,kisspeptin receptor,0,cognate,2026-05-05
Q96G91,P2Y11_HUMAN,P2RY11,P2Y purinoceptor 11,,374,unknown,,327,P2Y11 receptor,0,cognate,2026-05-05
Q96LA9,MRGX4_HUMAN,MRGPRX4,Mas-related G-protein coupled receptor member X4,,322,unknown,,159,MRGPRX4,1,orphan,2026-05-05
Q96LB2,MRGX1_HUMAN,MRGPRX1,Mas-related G-protein coupled receptor member X1,,322,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:36302898, PubMed:37591889).",156,MRGPRX1,0,cognate,2026-05-05
Q96P66,GP101_HUMAN,GPR101,Probable G-protein coupled receptor 101,,508,orphan,,125,GPR101,1,orphan,2026-05-05
Q96P68,OXGR1_HUMAN,OXGR1,2-oxoglutarate receptor 1,,337,unknown,,162,oxoglutarate receptor,0,cognate,2026-05-05
Q96RI0,PAR4_HUMAN,F2RL3,Proteinase-activated receptor 4,,385,unknown,,350,PAR4,1,orphan,2026-05-05
Q9BXC1,GP174_HUMAN,GPR174,Probable G-protein coupled receptor 174,,333,unknown,,145,GPR174,0,cognate,2026-05-05
Q9H228,S1PR5_HUMAN,S1PR5,Sphingosine 1-phosphate receptor 5,,398,unknown,,279,S1P5 receptor,0,cognate,2026-05-05
Q9H461,FZD8_HUMAN,FZD8,Frizzled-8,,694,cognate,Component of the Wnt-Fzd-LRP5-LRP6 complex that triggers beta-catenin signaling through inducing aggregation of receptor-ligand complexes into ribosome-sized signalosomes.,236,FZD8,1,orphan,2026-05-05
Q9HBX8,LGR6_HUMAN,LGR6,Leucine-rich repeat-containing G-protein coupled receptor 6,,967,unknown,,149,LGR6,0,cognate,2026-05-05
Q9HBX9,RXFP1_HUMAN,RXFP1,Relaxin receptor 1,,757,cognate,Binding of the ligand may also activate a tyrosine kinase pathway that inhibits the activity of a phosphodiesterase that degrades cAMP,351,RXFP1,0,cognate,2026-05-05
Q9NPG1,FZD3_HUMAN,FZD3,Frizzled-3,,666,unknown,,231,FZD3,1,orphan,2026-05-05
Q9NS75,CLTR2_HUMAN,CYSLTR2,Cysteinyl leukotriene receptor 2,,346,unknown,,270,CysLT2 receptor,0,cognate,2026-05-05
Q9NYQ6,CELR1_HUMAN,CELSR1,Cadherin EGF LAG seven-pass G-type receptor 1,,3014,unknown,,178,CELSR1,1,orphan,2026-05-05
Q9NYV7,T2R16_HUMAN,TAS2R16,Taste receptor type 2 member 16,,291,unknown,,669,TAS2R16,1,orphan,2026-05-05
Q9UBS5,GABR1_HUMAN,GABBR1,Gamma-aminobutyric acid type B receptor subunit 1,,961,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase (PubMed:10075644, PubMed:10773016, PubMed:10906333, PubMed:24305054, PubMed:9872744). This could explain the observation that certain small molecule ligands exhibit differential affinity for central versus peripheral sites",240,GABAB1,1,orphan,2026-05-05
Q9UKP6,UR2R_HUMAN,UTS2R,Urotensin-2 receptor,,389,unknown,"Upon ligand binding, activates intracellular signaling cascades via G-protein coupling, primarily through Gq/11, leading to phospholipase C activation, increased intracellular calcium, and activation of protein kinase C (PKC) (PubMed:18314227). Ligand binding also triggers a marked reduction in the biogenesis of autophagosomes by inhibiting the recruitment of ATG16L1 to pre-autophagosomal endocytic vesicles (PubMed:27715446)",365,UT receptor,0,cognate,2026-05-05
Q9Y2T6,GPR55_HUMAN,GPR55,G-protein coupled receptor 55,,319,unknown,"G-protein coupled receptor that binds to several ligands including 2-arachidonoyl lysophosphatidylinositol or lysophosphatidylglucoside with high affinity, leading to rapid and transient activation of numerous intracellular signaling pathways (PubMed:36142844, PubMed:36523570, PubMed:37544935).",109,GPR55,0,cognate,2026-05-05
Q9Y5N1,HRH3_HUMAN,HRH3,Histamine H3 receptor,,445,unknown,,264,H3 receptor,0,cognate,2026-05-05
O00155,GPR25_HUMAN,GPR25,C-X-C chemokine receptor GPR25,,361,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as RhoA pathway (PubMed:39293486).",95,GPR25,1,orphan,2026-05-05
O00421,CCRL2_HUMAN,CCRL2,C-C chemokine receptor-like 2,,344,unknown,"Does not appear to be a signaling receptor, but may have a role in modulating chemokine-triggered immune responses by capturing and internalizing CCL19 or by presenting RARRES2 ligand to CMKLR1, a functional signaling receptors.",78,CCRL2,0,cognate,2026-05-05
O00574,CXCR6_HUMAN,CXCR6,C-X-C chemokine receptor type 6,,342,unknown,,73,CXCR6,0,cognate,2026-05-05
O43194,GPR39_HUMAN,GPR39,G-protein coupled receptor 39,,453,cognate,,105,GPR39,0,cognate,2026-05-05
O60242,AGRB3_HUMAN,ADGRB3,Adhesion G protein-coupled receptor B3,,1522,unknown,,176,ADGRB3,1,orphan,2026-05-05
O95136,S1PR2_HUMAN,S1PR2,Sphingosine 1-phosphate receptor 2,,353,unknown,,276,S1P2 receptor,0,cognate,2026-05-05
P04001,OPSG_HUMAN,OPN1MW,Medium-wave-sensitive opsin 1,,364,unknown,,2962,OPN1MW,1,orphan,2026-05-05
P07550,ADRB2_HUMAN,ADRB2,Beta-2 adrenergic receptor,,413,cognate,,29,&beta;2-adrenoceptor,0,cognate,2026-05-05
P11229,ACM1_HUMAN,CHRM1,Muscarinic acetylcholine receptor M1,,460,unknown,,13,M1 receptor,0,cognate,2026-05-05
P13945,ADRB3_HUMAN,ADRB3,Beta-3 adrenergic receptor,,408,unknown,,30,&beta;3-adrenoceptor,0,cognate,2026-05-05
P18825,ADA2C_HUMAN,ADRA2C,Alpha-2C adrenergic receptor,,462,unknown,,27,&alpha;2C-adrenoceptor,0,cognate,2026-05-05
P21453,S1PR1_HUMAN,S1PR1,Sphingosine 1-phosphate receptor 1,,382,cognate,,275,S1P1 receptor,0,cognate,2026-05-05
P21730,C5AR1_HUMAN,C5AR1,C5a anaphylatoxin chemotactic receptor 1,,350,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:36806352, PubMed:37852260). The ligand interacts with at least two sites on the receptor: a high-affinity site on the extracellular N-terminus, and a second site in the transmembrane region which activates downstream signaling events (PubMed:7622471, PubMed:8182049, PubMed:9553099)",32,C5a1 receptor,0,cognate,2026-05-05
P21918,DRD5_HUMAN,DRD5,D(1B) dopamine receptor,,477,unknown,,218,D5 receptor,0,cognate,2026-05-05
P24530,EDNRB_HUMAN,EDNRB,Endothelin receptor type B,,442,unknown,,220,ETB receptor,0,cognate,2026-05-05
P28336,NMBR_HUMAN,NMBR,Neuromedin-B receptor,,390,unknown,,38,BB1 receptor,0,cognate,2026-05-05
P29274,AA2AR_HUMAN,ADORA2A,Adenosine receptor A2a,,412,cognate,,19,A2A receptor,0,cognate,2026-05-05
P30872,SSR1_HUMAN,SSTR1,Somatostatin receptor type 1,,391,unknown,,355,SST1 receptor,0,cognate,2026-05-05
P30989,NTR1_HUMAN,NTSR1,Neurotensin receptor type 1,,418,unknown,,309,NTS1 receptor,0,cognate,2026-05-05
P32248,CCR7_HUMAN,CCR7,C-C chemokine receptor type 7,,378,unknown,,64,CCR7,0,cognate,2026-05-05
P32745,SSR3_HUMAN,SSTR3,Somatostatin receptor type 3,,418,unknown,,357,SST3 receptor,0,cognate,2026-05-05
P34972,CNR2_HUMAN,CNR2,Cannabinoid receptor 2,,360,unknown,,57,CB2 receptor,0,cognate,2026-05-05
P34981,TRFR_HUMAN,TRHR,Thyrotropin-releasing hormone receptor,,398,unknown,"Upon ligand binding, this G-protein-coupled receptor triggers activation of the phosphatidylinositol (IP3)-calcium-protein kinase C (PKC) pathway",363,TRH1 receptor,1,orphan,2026-05-05
P35367,HRH1_HUMAN,HRH1,Histamine H1 receptor,,487,cognate,,262,H1 receptor,0,cognate,2026-05-05
P35372,OPRM_HUMAN,OPRM1,Mu-type opioid receptor,,400,unknown,"Endogenous ligands induce rapid desensitization, endocytosis and recycling (By similarity). Heterooligomerization with other GPCRs can modulate agonist binding, signaling and trafficking properties (By similarity) Couples to GNAS and is proposed to be involved in excitatory effects Does not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity Does not bind agonists but may act through oligomerization with binding-competent OPRM1 isoforms and reduce their ligand binding activity",319,&mu; receptor,0,cognate,2026-05-05
P35408,PE2R4_HUMAN,PTGER4,Prostaglandin E2 receptor EP4 subtype,,488,unknown,,343,EP4 receptor,0,cognate,2026-05-05
P41595,5HT2B_HUMAN,HTR2B,5-hydroxytryptamine receptor 2B,,481,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:23519215, PubMed:28129538, PubMed:8078486, PubMed:8143856, PubMed:8882600).",7,5-HT2B receptor,0,cognate,2026-05-05
P43116,PE2R2_HUMAN,PTGER2,Prostaglandin E2 receptor EP2 subtype,,358,unknown,,341,EP2 receptor,0,cognate,2026-05-05
P43220,GLP1R_HUMAN,GLP1R,Glucagon-like peptide 1 receptor,,463,unknown,"Ligand binding triggers activation of a signaling cascade that leads to the activation of adenylyl cyclase and increased intracellular cAMP levels (PubMed:19861722, PubMed:26308095, PubMed:27196125, PubMed:28514449, PubMed:7517895, PubMed:8216285, PubMed:8405712).",249,GLP-1 receptor,0,cognate,2026-05-05
P47775,GPR12_HUMAN,GPR12,G-protein coupled receptor 12,,334,unknown,"Additionally, two lipids sphingosylphosphorylcholine (SPC) and sphingosine-1-phosphate (S1P) may act as endogenous ligand and activate GPR12 (PubMed:12220620)",86,GPR12,0,cognate,2026-05-05
P47804,RGR_HUMAN,RGR,RPE-retinal G protein-coupled receptor,,291,unknown,,,,,unknown,2026-05-05
P48146,NPBW2_HUMAN,NPBWR2,Neuropeptides B/W receptor type 2,,333,unknown,Interacts specifically with a number of opioid ligands.,304,NPBW2 receptor,0,cognate,2026-05-05
P50052,AGTR2_HUMAN,AGTR2,Type-2 angiotensin II receptor,,363,cognate,,35,AT2 receptor,0,cognate,2026-05-05
P55085,PAR2_HUMAN,F2RL1,Proteinase-activated receptor 2,,397,unknown,,348,PAR2,1,orphan,2026-05-05
Q02643,GHRHR_HUMAN,GHRHR,Growth hormone-releasing hormone receptor,,423,unknown,,247,GHRH receptor,0,cognate,2026-05-05
Q14831,GRM7_HUMAN,GRM7,Metabotropic glutamate receptor 7,,915,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase that it inhibits (PubMed:9473604)",295,mGlu7 receptor,0,cognate,2026-05-05
Q15761,NPY5R_HUMAN,NPY5R,Neuropeptide Y receptor type 5,,445,unknown,,308,Y5 receptor,0,cognate,2026-05-05
Q16602,CALRL_HUMAN,CALCRL,Calcitonin gene-related peptide type 1 receptor,,461,unknown,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors.,47,calcitonin receptor-like receptor,1,orphan,2026-05-05
Q5T601,AGRF1_HUMAN,ADGRF1,Adhesion G-protein coupled receptor F1,,910,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:35418679, PubMed:36127364, PubMed:37120430).",190,ADGRF1,0,cognate,2026-05-05
Q7RTX1,TS1R1_HUMAN,TAS1R1,Taste receptor type 1 member 1,,841,unknown,,656,TAS1R1,1,orphan,2026-05-05
Q86SQ6,AGRA1_HUMAN,ADGRA1,Adhesion G protein-coupled receptor A1,,560,orphan,,197,ADGRA1,1,orphan,2026-05-05
Q86VZ1,P2RY8_HUMAN,P2RY8,S-geranylgeranyl-glutathione receptor P2RY8,,359,unknown,,164,P2RY8,1,orphan,2026-05-05
Q8IZP9,AGRG2_HUMAN,ADGRG2,Adhesion G-protein coupled receptor G2,,1017,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:33303626, PubMed:34234254).",187,ADGRG2,1,orphan,2026-05-05
Q8NFN8,GP156_HUMAN,GPR156,Probable G-protein coupled receptor 156,,814,unknown,,209,GPR156,1,orphan,2026-05-05
Q8TDT2,GP152_HUMAN,GPR152,Probable G-protein coupled receptor 152,,470,orphan,,138,GPR152,1,orphan,2026-05-05
Q96LB1,MRGX2_HUMAN,MRGPRX2,Mas-related G-protein coupled receptor member X2,,330,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:28288109, PubMed:34789874, PubMed:34789875). Acts as a receptor for a number of other ligands, including peptides and alkaloids, such as cortistatin-14, proadrenomedullin peptides PAMP-12 and, at lower extent, PAMP-20, antibacterial protein LL-37, PMX-53 peptide, beta-defensins, and complanadine A (PubMed:12915402, PubMed:15823563, PubMed:21441599, PubMed:22069323, PubMed:23698749, PubMed:24930830, PubMed:34789874, PubMed:34789875).",157,MRGPRX2,0,cognate,2026-05-05
Q96PE1,AGRA2_HUMAN,ADGRA2,Adhesion G protein-coupled receptor A2,,1338,unknown,,198,ADGRA2,1,orphan,2026-05-05
Q99500,S1PR3_HUMAN,S1PR3,Sphingosine 1-phosphate receptor 3,,378,unknown,,277,S1P3 receptor,0,cognate,2026-05-05
Q99677,LPAR4_HUMAN,LPAR4,Lysophosphatidic acid receptor 4,,370,unknown,,94,LPA4 receptor,0,cognate,2026-05-05
Q9GZQ4,NMUR2_HUMAN,NMUR2,Neuromedin-U receptor 2,,415,unknown,,299,NMU2 receptor,0,cognate,2026-05-05
Q9GZQ6,NPFF1_HUMAN,NPFFR1,Neuropeptide FF receptor 1,,430,unknown,Can also be activated by a variety of naturally occurring or synthetic FMRF-amide like ligands.,300,NPFF1 receptor,0,cognate,2026-05-05
Q9HB89,NMUR1_HUMAN,NMUR1,Neuromedin-U receptor 1,,426,unknown,,298,NMU1 receptor,0,cognate,2026-05-05
Q9HBW0,LPAR2_HUMAN,LPAR2,Lysophosphatidic acid receptor 2,,348,unknown,,273,LPA2 receptor,0,cognate,2026-05-05
Q9HBW9,AGRL4_HUMAN,ADGRL4,Adhesion G protein-coupled receptor L4,,690,orphan,,181,ADGRL4,1,orphan,2026-05-05
Q9HCU4,CELR2_HUMAN,CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2,,2923,unknown,,179,CELSR2,1,orphan,2026-05-05
Q9NQ84,GPC5C_HUMAN,GPRC5C,G-protein coupled receptor family C group 5 member C,,441,unknown,,260,GPRC5C,1,orphan,2026-05-05
Q9NQS5,GPR84_HUMAN,GPR84,G-protein coupled receptor 84,,396,unknown,,120,GPR84,1,orphan,2026-05-05
Q9P296,C5AR2_HUMAN,C5AR2,C5a anaphylatoxin chemotactic receptor 2,,337,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:12540846).",33,C5a2 receptor,0,cognate,2026-05-05
Q9UHM6,OPN4_HUMAN,OPN4,Melanopsin,,478,unknown,,2758,OPN4,1,orphan,2026-05-05
Q9ULW2,FZD10_HUMAN,FZD10,Frizzled-10,,581,unknown,,238,FZD10,1,orphan,2026-05-05
O14514,AGRB1_HUMAN,ADGRB1,Adhesion G protein-coupled receptor B1,,1584,unknown,,174,ADGRB1,0,cognate,2026-05-05
O15303,GRM6_HUMAN,GRM6,Metabotropic glutamate receptor 6,,877,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase.",294,mGlu6 receptor,0,cognate,2026-05-05
O15354,GPR37_HUMAN,GPR37,Prosaposin receptor GPR37,,613,unknown,"Acts as a receptor for several ligands including prosaposin, osteocalcin or neuroprotectin D1. Ligand binding induces endocytosis, followed by an ERK phosphorylation cascade (PubMed:11439185, PubMed:23690594).",103,GPR37,0,cognate,2026-05-05
O60353,FZD6_HUMAN,FZD6,Frizzled-6,,706,unknown,,234,FZD6,0,cognate,2026-05-05
O95490,AGRL2_HUMAN,ADGRL2,Adhesion G protein-coupled receptor L2,,1459,unknown,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (By similarity).,207,ADGRL2,1,orphan,2026-05-05
P08588,ADRB1_HUMAN,ADRB1,Beta-1 adrenergic receptor,,477,cognate,,28,&beta;1-adrenoceptor,0,cognate,2026-05-05
P08913,ADA2A_HUMAN,ADRA2A,Alpha-2A adrenergic receptor,,465,unknown,,25,&alpha;2A-adrenoceptor,0,cognate,2026-05-05
P20309,ACM3_HUMAN,CHRM3,Muscarinic acetylcholine receptor M3,,590,unknown,,15,M3 receptor,0,cognate,2026-05-05
P21462,FPR1_HUMAN,FPR1,N-formyl peptide receptor 1,,350,cognate,"Pro-resolving ligands, such as lipoxin A4 or ANXA1, induce the formation of FPR1:FPR2 heterodimers triggering proapoptotic JNK pathway in neutrophils (PubMed:24108355) (Microbial infection) Used by Y.",222,FPR1,0,cognate,2026-05-05
P21554,CNR1_HUMAN,CNR1,Cannabinoid receptor 1,,472,unknown,,56,CB1 receptor,0,cognate,2026-05-05
P23945,FSHR_HUMAN,FSHR,Follicle-stimulating hormone receptor,,695,unknown,,253,FSH receptor,0,cognate,2026-05-05
P25089,FPR3_HUMAN,FPR3,N-formyl peptide receptor 3,,353,unknown,,224,FPR3,0,cognate,2026-05-05
P25105,PTAFR_HUMAN,PTAFR,Platelet-activating factor receptor,,342,unknown,,334,PAF receptor,0,cognate,2026-05-05
P25116,PAR1_HUMAN,F2R,Proteinase-activated receptor 1,,425,unknown,,347,PAR1,1,orphan,2026-05-05
P28221,5HT1D_HUMAN,HTR1D,5-hydroxytryptamine receptor 1D,,377,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:10452531, PubMed:1565658, PubMed:1652050, PubMed:33762731).",3,5-HT1D receptor,0,cognate,2026-05-05
P28222,5HT1B_HUMAN,HTR1B,5-hydroxytryptamine receptor 1B,,390,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:10452531, PubMed:1315531, PubMed:1328844, PubMed:1348246, PubMed:1351684, PubMed:1559993, PubMed:1565658, PubMed:1610347, PubMed:23519210, PubMed:23519215, PubMed:29925951, PubMed:8218242).",2,5-HT1B receptor,0,cognate,2026-05-05
P28223,5HT2A_HUMAN,HTR2A,5-hydroxytryptamine receptor 2A,,471,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:28129538, PubMed:35084960).",6,5-HT2A receptor,0,cognate,2026-05-05
P30411,BKRB2_HUMAN,BDKRB2,B2 bradykinin receptor,,391,unknown,,42,B2 receptor,0,cognate,2026-05-05
P30556,AGTR1_HUMAN,AGTR1,Type-1 angiotensin II receptor,,359,cognate,,34,AT1 receptor,0,cognate,2026-05-05
P30559,OXYR_HUMAN,OXTR,Oxytocin receptor,,389,unknown,,369,OT receptor,0,cognate,2026-05-05
P30939,5HT1F_HUMAN,HTR1F,5-hydroxytryptamine receptor 1F,,366,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:34239069).",5,5-HT1F receptor,0,cognate,2026-05-05
P30988,CALCR_HUMAN,CALCR,Calcitonin receptor,,474,unknown,"G protein-coupled receptor activated by ligand peptides amylin (IAPP), calcitonin (CT/CALCA) and calcitonin gene-related peptide type 1 (CGRP1/CALCA) (PubMed:35324283, PubMed:38603770). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors. Does not undergo receptor internalization following ligand binding (PubMed:7476993)",43,CT receptor,0,cognate,2026-05-05
P32238,CCKAR_HUMAN,CCKAR,Cholecystokinin receptor type A,,428,unknown,,76,CCK1 receptor,0,cognate,2026-05-05
P32245,MC4R_HUMAN,MC4R,Melanocortin receptor 4,,332,cognate,,285,MC4 receptor,0,cognate,2026-05-05
P32247,BRS3_HUMAN,BRS3,Bombesin receptor subtype-3,,399,unknown,,40,BB3 receptor,1,orphan,2026-05-05
P34969,5HT7R_HUMAN,HTR7,5-hydroxytryptamine receptor 7,,479,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:35714614, PubMed:8226867).",12,5-HT7 receptor,0,cognate,2026-05-05
P34998,CRFR1_HUMAN,CRHR1,Corticotropin-releasing factor receptor 1,,415,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and down-stream effectors, such as adenylate cyclase.",212,CRF1 receptor,0,cognate,2026-05-05
P35348,ADA1A_HUMAN,ADRA1A,Alpha-1A adrenergic receptor,,466,cognate,"ADRA1A binds the catecholamine ligands norepinephrine and epinephrine (PubMed:18802028, PubMed:37563160, PubMed:7815325, PubMed:8024574, PubMed:8183249, PubMed:8832064).",22,&alpha;1A-adrenoceptor,0,cognate,2026-05-05
P35368,ADA1B_HUMAN,ADRA1B,Alpha-1B adrenergic receptor,,520,cognate,"ADRA1B binds the catecholamine ligands norepinephrine and epinephrine (PubMed:7815325, PubMed:8183249).",23,&alpha;1B-adrenoceptor,0,cognate,2026-05-05
